code,name,description,unit_code,unit_name,unit_sigla,is_active
64035122,Para mujeres,Para mujeres,17,PAR,2U,true
64035911,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64035912,"Para hombres, con plantilla de longitud superior o igual a 24 cm","Para hombres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64035913,"Para mujeres, con plantilla de longitud superior o igual a 24 cm","Para mujeres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64035991,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64035992,"Para hombres, con plantilla de longitud superior o igual a 24 cm","Para hombres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64035993,"Para mujeres, con plantilla de longitud superior o igual a 24 cm","Para mujeres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64039111,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64039112,"Para hombres, con plantilla de longitud superior o igual a 24 cm","Para hombres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64039113,"Para mujeres, con plantilla de longitud superior o igual a 24 cm","Para mujeres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64039121,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64039122,"Para hombres, con plantilla de longitud superior o igual a 24 cm","Para hombres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64039123,"Para mujeres, con plantilla de longitud superior o igual a 24 cm","Para mujeres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64039191,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64039192,"Para hombres, con plantilla de longitud superior o igual a 24 cm","Para hombres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64039193,"Para mujeres, con plantilla de longitud superior o igual a 24 cm","Para mujeres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64039911,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64039912,"Para hombres, con plantilla de longitud superior o igual a 24 cm","Para hombres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64039913,"Para mujeres, con plantilla de longitud superior o igual a 24 cm","Para mujeres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64039991,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64039992,"Para hombres, con plantilla de longitud superior o igual a 24 cm","Para hombres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64039993,"Para mujeres, con plantilla de longitud superior o igual a 24 cm","Para mujeres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64041110,"Para caminata, con suela de caucho y parte superior de materia textil","Para caminata, con suela de caucho y parte superior de materia textil",17,PAR,2U,true
64041120,"Para caminata, con suela de plástico y parte superior de materia textil","Para caminata, con suela de plástico y parte superior de materia textil",17,PAR,2U,true
64041130,"Para soccer, training o tenis, con suela de caucho y parte superior de materia textil","Para soccer, training o tenis, con suela de caucho y parte superior de materia textil",17,PAR,2U,true
64041140,"Para soccer, training o tenis, con suela de plástico y parte superior de materia textil","Para soccer, training o tenis, con suela de plástico y parte superior de materia textil",17,PAR,2U,true
64041190,Los demás,Los demás,17,PAR,2U,true
64041910,Zapatos y sandalias con suela de plástico y parte superior de materia textil,Zapatos y sandalias con suela de plástico y parte superior de materia textil,17,PAR,2U,true
64041920,Zapatos y sandalias con suela de caucho y parte superior de materia textil,Zapatos y sandalias con suela de caucho y parte superior de materia textil,17,PAR,2U,true
64041990,Los demás,Los demás,17,PAR,2U,true
64042011,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64042012,"Para hombres, con plantilla de longitud superior o igual a 24 cm","Para hombres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64042013,"Para mujeres, con plantilla de longitud superior o igual a 24 cm","Para mujeres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64042091,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64042092,"Para hombres, con plantilla de longitud superior o igual a 24 cm","Para hombres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64042093,"Para mujeres, con plantilla de longitud superior o igual a 24 cm","Para mujeres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64051010,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64051021,Para hombres,Para hombres,17,PAR,2U,true
64051022,Para mujeres,Para mujeres,17,PAR,2U,true
64052010,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64052021,Para hombres,Para hombres,17,PAR,2U,true
